Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,handleCharsArray,77,20,1,184,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,App_Icon,4,1,0,304,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Capitalization,main,4,1,1,309,0,,
SPL_Sep3,Duplicity_Checker_package.Code,check_extension,checking_extension,20,4,3,12,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,Duplicity_Folder,10,1,0,40,0,Duplicity_Checker_package.Code.Duplicity_Folder,Duplicity_Checker_package.Code.Duplicity_Folder
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,Logical_part,184,26,0,51,0,Duplicity_Checker_package.Code.Duplicity_Folder,Duplicity_Checker_package.Code.Duplicity_Folder
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,actionPerformed,6,1,1,53,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,actionPerformed,44,6,1,63,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,actionPerformed,44,8,1,115,0,Duplicity_Checker_package.Code.Duplicity_Folder,Duplicity_Checker_package.Code.Duplicity_Folder
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,actionPerformed,43,8,1,173,0,Duplicity_Checker_package.Code.Duplicity_Folder,Duplicity_Checker_package.Code.Duplicity_Folder
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,actionPerformed,30,7,1,230,0,Duplicity_Checker_package.Code.Duplicity_Folder,Duplicity_Checker_package.Code.Duplicity_Folder
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,ok_button_sound,7,2,0,271,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,App_Icon,4,1,0,279,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,single_files,60,12,0,284,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,multilple_files,46,11,0,357,0,Duplicity_Checker_package.Code.Duplicity_Folder,Duplicity_Checker_package.Code.Duplicity_Folder
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,display_percentage_after_sorting,12,3,0,424,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Folder,main,4,1,1,542,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,Duplicity_Random_File,9,1,0,38,0,Duplicity_Checker_package.Code.Duplicity_Random_File,Duplicity_Checker_package.Code.Duplicity_Random_File
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,Logical_part,202,29,0,48,0,Duplicity_Checker_package.Code.Duplicity_Random_File,Duplicity_Checker_package.Code.Duplicity_Random_File
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,actionPerformed,6,1,1,50,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,actionPerformed,44,6,1,60,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,actionPerformed,57,10,1,113,0,Duplicity_Checker_package.Code.Duplicity_Random_File,Duplicity_Checker_package.Code.Duplicity_Random_File
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,actionPerformed,58,10,1,182,0,Duplicity_Checker_package.Code.Duplicity_Random_File,Duplicity_Checker_package.Code.Duplicity_Random_File
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,actionPerformed,20,6,1,255,0,Duplicity_Checker_package.Code.Duplicity_Random_File,Duplicity_Checker_package.Code.Duplicity_Random_File
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,single_file,60,12,0,285,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,multiple_files,51,11,0,363,0,Duplicity_Checker_package.Code.Duplicity_Random_File,Duplicity_Checker_package.Code.Duplicity_Random_File
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,display_percentage_after_sorting,12,3,0,432,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,ok_button_sound,7,2,0,444,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,App_Icon,4,1,0,452,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Duplicity_Random_File,main,4,1,1,457,0,,
SPL_Sep3,Duplicity_Checker_package.Code,file_read,fileRead,17,2,3,7,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Frame_Container_Template,frame,5,1,0,9,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Frame_Container_Template,setContainer,5,1,0,14,0,,
SPL_Sep3,Duplicity_Checker_package.Code,highlight_text,highlight,24,3,2,17,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,Home,182,6,0,18,0,Duplicity_Checker_package.Code.Home,Duplicity_Checker_package.Code.Home
SPL_Sep3,Duplicity_Checker_package.Code,Home,actionPerformed,26,3,1,104,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,actionPerformed,12,1,1,131,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,actionPerformed,12,1,1,149,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,actionPerformed,6,1,1,164,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,actionPerformed,6,1,1,174,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,actionPerformed,29,2,1,184,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,App_Icon,4,1,0,217,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Home,main,4,1,1,222,0,,
SPL_Sep3,Duplicity_Checker_package.Code,MainClass,main,3,1,1,5,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Panel_BackButton_Template,Panel_BackButton_Template,4,1,0,12,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Panel_BackButton_Template,setPanel,7,1,0,17,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Panel_BackButton_Template,BackButton,9,1,0,25,0,,
SPL_Sep3,Duplicity_Checker_package.Code,save_file,save_as_docx,15,1,2,18,0,,
SPL_Sep3,Duplicity_Checker_package.Code,save_file,save_as_pdf,14,1,2,34,0,,
SPL_Sep3,Duplicity_Checker_package.Code,Sorting_result,sort,21,4,5,11,0,,
